symbol,bars,train_bars,oos_bars,long_signals,short_signals,trades,wins,losses,win_rate_pct,win_rate_ci95_low_pct,win_rate_ci95_high_pct,profit_factor,max_drawdown_pct,sortino,expectancy_pct,oos_return_pct,buy_hold_oos_pct,excess_vs_buy_hold_pct
BTCUSDT,1000,700,300,4,4,8,5,3,62.5,30.57,86.32,4.7534,3.57,12.718,3.4901,30.18,-41.17,71.36
ETHUSDT,1000,700,300,3,2,5,3,2,60.0,23.07,88.24,14.2938,0.68,475.692,3.5475,18.48,-50.19,68.67
BNBUSDT,1000,700,300,4,4,8,5,3,62.5,30.57,86.32,1.341,5.46,0.592,0.4353,2.87,-43.75,46.62
